,seats,kms_driven,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
0,5,56000,2017,7.81,2996,2996,333,63.75
1,5,30615,2020,17.4,999,999,9863,8.99
2,5,24000,2018,20.68,1995,1995,188,23.75
3,5,18378,2019,16.5,1353,1353,13808,13.56
4,5,44900,2019,14.67,1798,1798,17746,24
5,5,42000,2017,18.7,1199,1199,887,5.45
6,5,36739,2018,18.9,1197,1197,8186,5.12
7,5,76000,2018,15.8,1591,1591,1213,9.3
8,5,68000,2015,13.5,2987,2987,25479,42
9,5,28783,2019,17,1198,1198,1085,8.02
10,5,40000,2020,17.4,1497,1497,1176,10.95
11,5,17382,2021,16.42,1498,1498,10455,8.99
12,5,120000,2014,18.88,1995,1995,184,7.45
13,5,17000,2021,18.15,998,998,11835,10.95
14,5,26867,2019,18.9,1197,1197,8186,5.78
15,5,30000,2022,21,1197,1197,8180,8.95
16,5,150000,2014,18.88,1995,1995,184,8.5
17,5,53000,2018,22.69,1995,1995,190,23.5
18,5,40000,2019,17,1497,1497,12136,7.95
19,5,48000,2020,14.1,1368,1368,16077,18.95
20,6,35000,2021,12.4,1996,1996,21501,35
21,5,100525,2010,16.1,1197,1197,85,2.09
22,5,83000,2015,18,1497,1497,1173,6.25
23,5,40191,2011,998,671,671,90,2.12
24,5,62152,2015,18.53,1968,1968,18774,20
25,5,49000,2017,15.29,1591,1591,1213,8.35
26,5,56215,2017,21.4,1197,1197,831,5.03
27,5,53000,2018,17.1,1496,1496,10594,6.95
28,7,100000,2015,12.55,2982,2982,1685,16
29,5,36346,2020,16.8,1353,1353,13808,15.22
30,5,48000,2018,13.5,1999,1999,177,26.95
31,5,42098,2019,18.6,1197,1197,8186,6.7
32,5,40000,2018,17.1,1956,1956,170,10.75
33,5,64000,2019,20.68,1995,1995,188,25.5
34,5,13158,2022,22.56,1197,1197,8850,8.38
35,5,65400,2018,17.6,1582,1582,1262,10.9
36,5,100000,2017,17.8,1198,1198,867,3.95
37,5,30000,2022,26.49,1199,1199,72,7.25
38,5,62000,2017,1498,986,986,200,4.75
39,4,40000,2010,10.98,1984,1984,1144,11.95
40,6,35000,2021,12.4,1996,1996,21501,35
41,5,100525,2010,16.1,1197,1197,85,2.09
42,5,83000,2015,18,1497,1497,1173,6.25
43,5,40191,2011,998,671,671,90,2.12
44,5,62152,2015,18.53,1968,1968,18774,20
45,5,49000,2017,15.29,1591,1591,1213,8.35
46,5,56215,2017,21.4,1197,1197,831,5.03
47,5,53000,2018,17.1,1496,1496,10594,6.95
48,7,100000,2015,12.55,2982,2982,1685,16
49,5,36346,2020,16.8,1353,1353,13808,15.22
50,5,48000,2018,13.5,1999,1999,177,26.95
51,5,42098,2019,18.6,1197,1197,8186,6.7
52,5,40000,2018,17.1,1956,1956,170,10.75
53,5,64000,2019,20.68,1995,1995,188,25.5
54,5,13158,2022,22.56,1197,1197,8850,8.38
55,5,65400,2018,17.6,1582,1582,1262,10.9
56,5,100000,2017,17.8,1198,1198,867,3.95
57,5,30000,2022,26.49,1199,1199,72,7.25
58,5,62000,2017,1498,986,986,200,4.75
59,4,40000,2010,10.98,1984,1984,1144,11.95
60,5,10280,2023,18.4,1498,1498,11935,16
61,5,17282,2015,21.4,1197,1197,831,5.45
62,5,30500,2019,14.4,1997,1997,15189,22.95
63,5,60755,2020,20.8,1493,1493,11343,13.51
64,5,25000,2021,11.9,1950,1950,20115,40.75
65,7,47000,2018,15.4,2179,2179,13678,14.5
66,5,59316,2020,16.2,1353,1353,138,13.99
67,5,48000,2021,17.1,1496,1496,1055,6.95
68,5,20000,2023,14.82,1998,1998,24808,65
69,5,12503,2020,22,999,999,67,5.15
70,5,10000,2021,14.3,1368,1368,16077,15.95
71,5,73717,2011,16.1,1197,1197,85,2.41
72,7,90000,2016,11.3,2987,2987,2548,32.5
73,5,17000,2017,17.1,1199,1199,8850,5.95
74,5,36047,2014,18.9,1197,1197,82,4.32
75,5,45000,2018,998,5833,5833,78,4.45
76,5,100000,2009,19.3,1248,1248,739,2
77,5,50000,2016,20.36,1197,1197,789,3.45
78,5,51000,2018,22,1197,1197,8180,5.5
79,7,62000,2018,2179,15287,15287,360,8.5
80,5,10280,2023,18.4,1498,1498,11935,16
81,5,17282,2015,21.4,1197,1197,831,5.45
82,5,30500,2019,14.4,1997,1997,15189,22.95
83,5,60755,2020,20.8,1493,1493,11343,13.51
84,5,25000,2021,11.9,1950,1950,20115,40.75
85,7,47000,2018,15.4,2179,2179,13678,14.5
86,5,59316,2020,16.2,1353,1353,138,13.99
87,5,48000,2021,17.1,1496,1496,1055,6.95
88,5,20000,2023,14.82,1998,1998,24808,65
89,5,12503,2020,22,999,999,67,5.15
90,5,10000,2021,14.3,1368,1368,16077,15.95
91,5,73717,2011,16.1,1197,1197,85,2.41
92,7,90000,2016,11.3,2987,2987,2548,32.5
93,5,17000,2017,17.1,1199,1199,8850,5.95
94,5,36047,2014,18.9,1197,1197,82,4.32
95,5,45000,2018,998,5833,5833,78,4.45
96,5,100000,2009,19.3,1248,1248,739,2
97,5,50000,2016,20.36,1197,1197,789,3.45
98,5,51000,2018,22,1197,1197,8180,5.5
99,7,62000,2018,2179,15287,15287,360,8.5
100,5,45000,2017,19.16,2494,2494,1577,22.5
101,5,17041,2021,20.28,998,998,11841,10.49
102,7,49000,2018,16,1997,1997,140,9.25
103,5,23588,2020,18.27,998,998,11835,9.2
104,5,50000,2018,17.9,2143,2143,1341,22
105,7,76000,2017,11.36,2755,2755,1715,14.75
106,5,49341,2019,21.01,1197,1197,8180,5.76
107,5,56000,2013,18,1198,1198,867,3.25
108,6,12000,2023,12.34,1451,1451,141,21
109,5,51734,2014,17.8,1497,1497,1173,5.72
110,5,22000,2018,22,1197,1197,8180,5.75
111,5,45084,2018,20.5,1582,1582,1262,9.22
112,7,20000,2015,15.4,2179,2179,120,11
113,5,29000,2016,17.8,1198,1198,867,4.8
114,5,16763,2021,18.27,998,998,11835,9.69
115,5,6000,2022,19.33,1199,1199,8683,6.95
117,7,86000,2015,15.1,2179,2179,140,5.45
118,5,24000,2018,17.1,1199,1199,8850,6.55
119,5,9000,2021,20.36,1197,1197,8180,7.75
120,5,45000,2017,19.16,2494,2494,1577,22.5
121,5,17041,2021,20.28,998,998,11841,10.49
122,7,49000,2018,16,1997,1997,140,9.25
123,5,23588,2020,18.27,998,998,11835,9.2
124,5,50000,2018,17.9,2143,2143,1341,22
125,7,76000,2017,11.36,2755,2755,1715,14.75
126,5,49341,2019,21.01,1197,1197,8180,5.76
127,5,56000,2013,18,1198,1198,867,3.25
128,6,12000,2023,12.34,1451,1451,141,21
129,5,51734,2014,17.8,1497,1497,1173,5.72
130,5,22000,2018,22,1197,1197,8180,5.75
131,5,45084,2018,20.5,1582,1582,1262,9.22
132,7,20000,2015,15.4,2179,2179,120,11
133,5,29000,2016,17.8,1198,1198,867,4.8
134,5,16763,2021,18.27,998,998,11835,9.69
135,5,6000,2022,19.33,1199,1199,8683,6.95
137,7,86000,2015,15.1,2179,2179,140,5.45
138,5,24000,2018,17.1,1199,1199,8850,6.55
139,5,9000,2021,20.36,1197,1197,8180,7.75
140,7,14900,2022,16.5,1353,1353,13805,16.5
141,5,17172,2022,20.25,998,998,11841,10.33
142,5,33000,2020,1950,24138,24138,500,78
143,5,38000,2016,25.17,799,799,533,1.85
144,5,11501,2022,19.33,1199,1199,8683,8.24
145,5,43703,2022,1950,24138,24138,500,82.9
146,7,29800,2021,2755,20115,20115,500,44
147,5,22051,2020,21.01,1197,1197,8180,6.98
148,5,32965,2021,1197,8180,8180,113,5.75
149,5,96593,2014,1086,6805,6805,9904,2.73
150,5,50000,2017,17.01,1591,1591,1213,6.75
151,5,15000,2022,14.82,1998,1998,18908,42
152,5,27138,2020,19.01,1199,1199,8482,5.92
153,5,15000,2022,21.4,1197,1197,831,7.25
154,4,10000,2018,19.4,2143,2143,204,38
155,7,9000,2023,1997,200,200,380,23.45
156,5,10000,2021,18.2,998,998,11836,10.2
157,5,70000,2020,18,1493,1493,11343,14.95
158,5,30000,2020,12.6,1950,1950,194,37.5
159,5,16684,2021,20.25,998,998,11841,11.11
160,5,30000,2019,2996,38487,38487,520,67
161,5,92543,2012,1197,8180,8180,113,2.74
162,7,25000,2021,1999,19713,19713,380,24.75
163,5,59870,2016,21.7,1498,1498,9896,4.95
164,5,62700,2016,18.6,1197,1197,8183,5.22
165,5,42132,2019,17.8,1493,1493,1134,14.75
166,5,32000,2018,15.04,1991,1991,183,25.75
167,5,58873,2010,19,998,998,661,1.82
168,5,10000,2018,14.99,1498,1498,1045,7.95
169,5,14069,2022,19.33,1199,1199,8683,8.24
171,5,80000,2014,19.01,1461,1461,10845,2.85
172,5,57453,2016,17.8,1497,1497,1173,6.24
173,5,66717,2011,1196,70,70,102,70000
174,7,40000,2016,11,2987,2987,258,43.33
175,5,16433,2022,1969,18740,18740,300,43.75
176,5,17860,2018,15.71,1998,1998,189,29.9
177,7,52000,2020,11.36,2755,2755,1715,22.5
178,5,30000,2020,12.6,1950,1950,194,37.5
179,5,16684,2021,20.25,998,998,11841,11.11
180,5,30000,2019,2996,38487,38487,520,67
181,5,92543,2012,1197,8180,8180,113,2.74
182,7,25000,2021,1999,19713,19713,380,24.75
183,5,59870,2016,21.7,1498,1498,9896,4.95
184,5,62700,2016,18.6,1197,1197,8183,5.22
185,5,42132,2019,17.8,1493,1493,1134,14.75
186,5,32000,2018,15.04,1991,1991,183,25.75
187,5,58873,2010,19,998,998,661,1.82
188,5,10000,2018,14.99,1498,1498,1045,7.95
189,5,14069,2022,19.33,1199,1199,8683,8.24
191,5,80000,2014,19.01,1461,1461,10845,2.85
192,5,57453,2016,17.8,1497,1497,1173,6.24
193,5,66717,2011,1196,70,70,102,70000
194,7,40000,2016,11,2987,2987,258,43.33
195,5,16433,2022,1969,18740,18740,300,43.75
196,5,17860,2018,15.71,1998,1998,189,29.9
197,7,52000,2020,11.36,2755,2755,1715,22.5
198,5,27200,2019,13.5,2925,2925,28161,77
199,5,25260,2014,18.9,1197,1197,82,4.37
200,5,21421,2019,20.37,1995,1995,18774,45.9
201,5,70215,2015,20.36,1197,1197,789,3.08
202,6,32900,2022,23.8,1493,1493,11398,20
203,5,40045,2021,11.9,1950,1950,20115,43.9
204,5,75000,2010,19,998,998,661,1.68
205,5,32325,2019,11.9,1950,1950,20115,44.9
206,6,68000,2021,12.4,1996,1996,21501,33
207,5,78501,2015,20.7,1197,1197,8186,3.94
208,7,46853,2018,12.83,1997,1997,23736,45.9
209,5,27114,2021,21.01,1197,1197,8180,7.18
211,5,88000,2017,13,1591,1591,1213,8.65
212,5,58382,2013,19.1,1197,1197,858,3.54
214,5,80000,2015,15,1598,1598,1036,3.3
215,5,32628,2020,11.9,1950,1950,20115,41.9
216,6,35000,2021,12.4,1996,1996,21501,36
217,5,67264,2014,1197,82,82,114,3.27
218,6,17000,2019,16,1950,1950,16092,65
219,5,77584,2013,26.6,998,998,5816,2.8
220,4,50000,2016,7.81,4663,4663,459,98.5
221,7,70000,2017,15.4,2179,2179,120,9
222,5,71977,2013,1197,8180,8180,113,2.94
223,5,52690,2017,20.89,1197,1197,8180,4.2
224,5,11900,2022,14,1497,1497,11318,18.25
225,5,53747,2017,18.6,1197,1197,8183,5.77
226,5,32321,2019,16.55,1995,1995,1877,49.9
227,5,55485,2015,19.4,1198,1198,868,3.35
229,5,54000,2018,15.8,1997,1997,247,59.75
230,5,49404,2017,21.4,1197,1197,831,5.44
232,7,100000,2018,10.91,3198,3198,197,22.5
236,6,35000,2021,12.4,1996,1996,21501,36
237,5,67264,2014,1197,82,82,114,3.27
238,6,17000,2019,16,1950,1950,16092,65
239,5,77584,2013,26.6,998,998,5816,2.8
240,4,50000,2016,7.81,4663,4663,459,98.5
241,7,70000,2017,15.4,2179,2179,120,9
242,5,71977,2013,1197,8180,8180,113,2.94
243,5,52690,2017,20.89,1197,1197,8180,4.2
244,5,11900,2022,14,1497,1497,11318,18.25
245,5,53747,2017,18.6,1197,1197,8183,5.77
246,5,32321,2019,16.55,1995,1995,1877,49.9
247,5,55485,2015,19.4,1198,1198,868,3.35
249,5,54000,2018,15.8,1997,1997,247,59.75
250,5,49404,2017,21.4,1197,1197,831,5.44
252,7,100000,2018,10.91,3198,3198,197,22.5
256,7,8000,2022,1997,200,200,380,24
257,5,33841,2014,998,671,671,90,3.17
259,5,9246,2023,19.4,999,999,11398,15.62
260,7,42000,2018,10.75,2694,2694,1637,17.9
262,5,42462,2018,27.28,1047,1047,69,4.3
264,7,30000,2021,12.05,2157,2157,17849,24.75
265,5,96660,2012,18.5,1197,1197,8285,2.47
267,5,38963,2014,18.9,1197,1197,82,4.13
268,5,70000,2011,18.5,1197,1197,805200,1.6
270,5,63249,2017,18.9,1197,1197,8186,4.59
273,7,82000,2016,19.01,1462,1462,10326,7.49
274,5,38000,2019,20.73,1373,1373,911,6.75
275,7,40500,2020,14.11,2199,2199,19726,25.25
276,5,40000,2020,1493,9863,9863,240,11.55
277,5,65170,2015,20.36,1197,1197,789,3.02
278,5,50000,2018,17.5,1199,1199,887,7.25
279,5,34838,2020,999,6706,6706,91,3.88
280,5,30466,2021,20.28,998,998,11841,10.5
281,5,32000,2020,16.1,1950,1950,1917,44.5
282,5,50000,2018,18,1969,1969,190,33
283,5,48946,2014,19.1,1197,1197,858,4.11
284,5,43498,2017,18.56,1995,1995,190,29.9
285,4,8744,2022,15.2,1997,1997,150,16.01
286,5,30000,2020,1493,986,986,24026,7.8
287,7,72000,2017,12.81,1997,1997,23736,32.5
288,5,71361,2017,18.6,1197,1197,8183,5.52
289,5,60500,2017,20.68,1995,1995,188,19.95
290,5,30000,2021,14.11,1984,1984,2413,49.5
291,5,64000,2018,21.7,1498,1498,9896,7.99
292,5,26000,2013,11.9,1595,1595,1207,12.45
293,5,60000,2016,14.7,1496,1496,12069,6.49
294,5,40000,2020,1493,9863,9863,240,11.55
295,5,65170,2015,20.36,1197,1197,789,3.02
296,5,50000,2018,17.5,1199,1199,887,7.25
297,5,34838,2020,999,6706,6706,91,3.88
298,7,72000,2018,12.81,1997,1997,23736,49.5
299,5,30466,2021,20.28,998,998,11841,10.5
300,5,32000,2020,16.1,1950,1950,1917,44.5
301,5,50000,2018,18,1969,1969,190,33
302,5,48946,2014,19.1,1197,1197,858,4.11
303,5,43498,2017,18.56,1995,1995,190,29.9
304,4,8744,2022,15.2,1997,1997,150,16.01
305,5,30000,2020,1493,986,986,24026,7.8
306,7,72000,2017,12.81,1997,1997,23736,32.5
307,5,71361,2017,18.6,1197,1197,8183,5.52
308,5,60500,2017,20.68,1995,1995,188,19.95
309,5,30000,2021,14.11,1984,1984,2413,49.5
310,5,64000,2018,21.7,1498,1498,9896,7.99
311,5,26000,2013,11.9,1595,1595,1207,12.45
312,5,60000,2016,14.7,1496,1496,12069,6.49
313,5,28000,2021,1984,18774,18774,320,26.5
314,5,89002,2011,17.5,1197,1197,858,2.37
315,5,36937,2018,21.4,1197,1197,831,6.4
316,7,42000,2019,13.68,2393,2393,14751,18.75
317,5,55000,2019,20.37,1995,1995,18774,41.5
318,5,70391,2019,21.01,1197,1197,8180,5.12
319,5,56000,2014,16.3,1797,1797,1475,4.95
320,5,52190,2016,18.9,1197,1197,82,4.31
321,5,40000,2014,11.78,2143,2143,16762,9.99
322,5,72000,2018,20.38,1968,1968,143,20
323,5,48173,2013,998,671,671,90,2.88
324,5,110000,2012,12.05,1995,1995,154,7.3
325,5,50000,2012,16.8,1497,1497,1163,3.39
326,5,44132,2019,17.9,2143,2143,1341,26.9
327,5,90000,2015,17.4,1497,1497,1173,4.75
328,7,49000,2020,12.4,1996,1996,16762,33.5
329,5,28000,2021,1984,18774,18774,320,26.5
330,5,89002,2011,17.5,1197,1197,858,2.37
331,5,28194,2019,18.27,998,998,11835,9.03
332,5,34500,2019,15.01,1998,1998,24808,52
333,5,50605,2019,16.1,1950,1950,1917,39.9
334,5,36937,2018,21.4,1197,1197,831,6.4
335,7,42000,2019,13.68,2393,2393,14751,18.75
336,5,55000,2019,20.37,1995,1995,18774,41.5
337,5,70391,2019,21.01,1197,1197,8180,5.12
338,5,56000,2014,16.3,1797,1797,1475,4.95
339,5,52190,2016,18.9,1197,1197,82,4.31
340,5,40000,2014,11.78,2143,2143,16762,9.99
341,5,72000,2018,20.38,1968,1968,143,20
342,5,48173,2013,998,671,671,90,2.88
343,5,110000,2012,12.05,1995,1995,154,7.3
344,5,50000,2012,16.8,1497,1497,1163,3.39
345,5,44132,2019,17.9,2143,2143,1341,26.9
346,5,90000,2015,17.4,1497,1497,1173,4.75
347,7,49000,2020,12.4,1996,1996,16762,33.5
348,7,70000,2017,12.07,2967,2967,2414,40
349,5,49341,2015,15.29,1591,1591,1213,8.42
350,7,55000,2018,13.8,2999,2999,175,18.95
351,5,55861,2019,22.1,1396,1396,887,10.27
352,7,76000,2018,9.17,2995,2995,33525,49.5
353,7,68000,2018,13.68,2393,2393,14751,14.25
354,5,52565,2014,17.8,1198,1198,867,4.17
355,5,72000,2018,18,1969,1969,190,29.55
356,7,70000,2017,14.75,2967,2967,245,40
357,5,73074,2019,18.9,1197,1197,8186,4.93
358,5,45000,2019,16.35,1956,1956,16767,13.75
359,5,90995,2014,1197,82,82,114,3.35
360,5,30000,2017,23.01,999,999,67,3.35
362,5,42346,2014,20.51,998,998,6704,3.01
363,5,31120,2020,18,1497,1497,1176,11.5
364,5,100000,2014,22.32,1582,1582,12632,3.95
365,5,33500,2018,17.8,1496,1496,1055,7.5
366,5,64000,2015,1197,82,82,114,4.25
368,7,70000,2017,12.07,2967,2967,2414,40
369,5,49341,2015,15.29,1591,1591,1213,8.42
370,7,55000,2018,13.8,2999,2999,175,18.95
371,5,55861,2019,22.1,1396,1396,887,10.27
372,7,76000,2018,9.17,2995,2995,33525,49.5
373,7,68000,2018,13.68,2393,2393,14751,14.25
374,5,52565,2014,17.8,1198,1198,867,4.17
375,5,72000,2018,18,1969,1969,190,29.55
376,7,70000,2017,14.75,2967,2967,245,40
377,5,73074,2019,18.9,1197,1197,8186,4.93
378,5,45000,2019,16.35,1956,1956,16767,13.75
379,5,90995,2014,1197,82,82,114,3.35
380,5,30000,2017,23.01,999,999,67,3.35
382,5,42346,2014,20.51,998,998,6704,3.01
383,5,31120,2020,18,1497,1497,1176,11.5
384,5,100000,2014,22.32,1582,1582,12632,3.95
385,5,33500,2018,17.8,1496,1496,1055,7.5
386,5,64000,2015,1197,82,82,114,4.25
388,4,4000,2022,11.86,2998,2998,33525,1.25
389,5,48936,2011,19,998,998,661,2.34
390,7,23000,2019,10.2,2360,2360,16494,19.5
391,5,61814,2017,21.4,1197,1197,831,5.27
392,5,62000,2019,13.38,2993,2993,26150,47.98
393,5,40000,2017,17.21,1197,1197,1035,10
394,5,30200,2020,18.27,998,998,11835,9.25
395,5,34123,2020,14.67,1798,1798,17746,30.5
396,5,16000,2022,2996,38487,38487,520,83
397,5,28645,2018,24.3,1248,1248,885,7.71
398,5,48933,2015,17.11,1968,1968,17433,15.75
399,5,60970,2016,13,1591,1591,1213,9.4
400,5,50000,2017,13,1591,1591,1213,7.75
401,7,56000,2018,14.24,2755,2755,1745,27.5
402,5,40427,2018,18.9,1197,1197,8186,5.36
403,5,54213,2019,20.73,1373,1373,911,7.9
405,5,85000,2011,14.53,1798,1798,1381,2.75
406,8,91000,2016,13.68,2393,2393,14751,12
407,5,47000,2016,18.9,1197,1197,82,3.85
408,5,54630,2015,18,1497,1497,1173,6.86
409,7,72222,2015,14.75,2967,2967,245,34.9
410,5,41116,2019,18,1497,1497,1176,10.39
411,5,4000,2019,12.65,1997,1997,29636,1.1
412,5,20000,2017,9.43,1999,1999,2374,69
413,5,29502,2021,19.33,1199,1199,8683,7.56
414,5,132501,2014,15.97,2993,2993,258,12.21
415,5,35000,2017,13,2143,2143,204,23.9
416,5,56458,2017,25.5,1498,1498,986,5.71
417,5,50000,2018,19.12,1373,1373,911,7.25
418,5,61657,2018,21.4,1197,1197,831,5.93
419,5,50000,2016,18,1497,1497,1173,6.5
420,5,67000,2017,20.73,1373,1373,911,6.25
421,5,104948,2016,18.6,1197,1197,8183,4.61
422,5,20000,2017,9.43,1999,1999,2374,52
423,5,10000,2023,17,1497,1497,11342,15.21
424,5,154000,2014,11.74,2987,2987,2548,17.5
425,5,46000,2016,19.16,2494,2494,1577,20.5
426,5,90000,2015,1497,1173,1173,145,5.65
427,5,47000,2016,18.9,1197,1197,82,3.85
428,5,54630,2015,18,1497,1497,1173,6.86
429,7,72222,2015,14.75,2967,2967,245,34.9
430,5,41116,2019,18,1497,1497,1176,10.39
431,5,4000,2019,12.65,1997,1997,29636,1.1
432,5,20000,2017,9.43,1999,1999,2374,69
433,5,29502,2021,19.33,1199,1199,8683,7.56
434,5,132501,2014,15.97,2993,2993,258,12.21
435,5,35000,2017,13,2143,2143,204,23.9
436,5,56458,2017,25.5,1498,1498,986,5.71
437,5,50000,2018,19.12,1373,1373,911,7.25
438,5,61657,2018,21.4,1197,1197,831,5.93
439,5,50000,2016,18,1497,1497,1173,6.5
440,5,67000,2017,20.73,1373,1373,911,6.25
441,5,104948,2016,18.6,1197,1197,8183,4.61
442,5,20000,2017,9.43,1999,1999,2374,52
443,5,10000,2023,17,1497,1497,11342,15.21
444,5,154000,2014,11.74,2987,2987,2548,17.5
445,5,46000,2016,19.16,2494,2494,1577,20.5
446,5,90000,2015,1497,1173,1173,145,5.65
447,5,39000,2020,20.38,1968,1968,143,22.5
448,5,64727,2017,13,1591,1591,1213,9.87
449,5,65000,2018,21.19,1396,1396,8873,6.5
450,5,44636,2013,19.4,1198,1198,868,2.63
451,7,100000,2015,12.55,2982,2982,1685,15.5
452,5,23616,2021,12.6,1950,1950,194,43.9
453,5,107682,2014,19.1,1197,1197,82,3.39
454,5,9500,2022,1991,30173,30173,400,56.5
455,7,47500,2019,12.81,1997,1997,23736,43
456,5,101914,2011,16.47,1198,1198,739,2.59
457,5,620,2023,1197,8180,8180,1138,6.65
458,5,45507,2019,21.01,1197,1197,8180,6.49
459,4,58000,2015,16.77,2967,2967,24674,29.75
460,5,7000,2022,2925,28161,28161,600,1.55
461,5,74095,2015,16.5,1499,1499,110,5.37
463,4,40000,2018,7.81,4663,4663,459,1.09
464,5,77684,2010,796,463,463,62,1.54
465,5,22900,2021,13.47,1984,1984,24559,54.8
468,5,74846,2014,18.9,1197,1197,82,3.1
469,5,4500,2022,22.35,1197,1197,8850,7.55
470,5,97722,2012,18.5,1197,1197,805200,2.27
471,5,9000,2023,12.1,1998,1998,26530,70
472,5,19000,2020,8.9,2999,2999,435,78.99
473,5,79683,2015,18,1497,1497,1173,6.35
474,5,26000,2022,22.61,1197,1197,8850,7.95
475,5,70000,2016,20.68,1995,1995,188,15.5
476,5,85540,2019,16.5,1353,1353,13808,13.86
477,5,10000,2023,1197,12873,12873,230,11.7
478,5,50170,2019,21.01,1197,1197,8180,6.87
479,7,44000,2020,13.38,2993,2993,26150,98.5
480,5,4000,2022,12.6,1950,1950,194,56.75
481,5,37163,2015,998,671,671,90,3.18
482,5,21003,2022,1451,141,141,250,18.75
483,5,49000,2018,16.55,1995,1995,1877,39
484,5,89057,2011,16.98,998,998,661,2.26
485,5,12000,2021,11.9,1950,1950,20115,44.5
486,5,11000,2022,18.76,1462,1462,10326,9.99
488,5,74846,2014,18.9,1197,1197,82,3.1
489,5,4500,2022,22.35,1197,1197,8850,7.55
490,5,97722,2012,18.5,1197,1197,805200,2.27
491,5,9000,2023,12.1,1998,1998,26530,70
492,5,19000,2020,8.9,2999,2999,435,78.99
493,5,79683,2015,18,1497,1497,1173,6.35
494,5,26000,2022,22.61,1197,1197,8850,7.95
495,5,70000,2016,20.68,1995,1995,188,15.5
496,5,85540,2019,16.5,1353,1353,13808,13.86
497,5,10000,2023,1197,12873,12873,230,11.7
498,5,50170,2019,21.01,1197,1197,8180,6.87
499,7,44000,2020,13.38,2993,2993,26150,98.5
500,5,4000,2022,12.6,1950,1950,194,56.75
501,5,37163,2015,998,671,671,90,3.18
502,5,21003,2022,1451,141,141,250,18.75
503,5,49000,2018,16.55,1995,1995,1877,39
504,5,89057,2011,16.98,998,998,661,2.26
505,5,12000,2021,11.9,1950,1950,20115,44.5
506,5,11000,2022,18.76,1462,1462,10326,9.99
507,5,72692,2016,17.8,1497,1497,1173,6.85
508,5,47463,2016,15.63,1499,1499,1104,6.33
509,5,7651,2022,12.74,1991,1991,197,61
510,5,69348,2014,17.8,1497,1497,1173,6.19
511,5,40000,2016,14.47,2993,2993,30173,32.5
512,5,18000,2020,15.8,1997,1997,247,80
514,5,40000,2013,11.88,1086,1086,621,2.1
515,7,84000,2016,11,2987,2987,258,46.21
516,5,62411,2013,998,671,671,90,2.9
517,5,22711,2022,19.89,1462,1462,10165,11.35
518,5,90576,2014,18.9,1197,1197,82,3.37
519,5,44000,2018,17,2987,2987,2548,44
520,5,49000,2017,1197,8180,8180,113,4.25
521,5,40678,2019,18.27,998,998,11835,9.24
522,5,32000,2012,998,6704,6704,90,2.2
523,7,27500,2020,19.01,1462,1462,10326,10.5
524,5,92539,2018,18.6,1197,1197,8183,5.28
525,5,21000,2021,15.3,1998,1998,25479,48
526,5,6000,2020,21.4,1197,1197,831,6.95
527,5,72692,2016,17.8,1497,1497,1173,6.85
528,5,47463,2016,15.63,1499,1499,1104,6.33
529,5,7651,2022,12.74,1991,1991,197,61
530,5,69348,2014,17.8,1497,1497,1173,6.19
531,5,40000,2016,14.47,2993,2993,30173,32.5
532,5,18000,2020,15.8,1997,1997,247,80
